"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",1,"Chania",NA,"Kata","Location"
2,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",2,"Kiganjo",NA,"Kata","Location"
3,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",3,"Mangu",NA,"Kata","Location"
4,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",4,"Ndarugu",NA,"Kata","Location"
5,118,"KEN","Kenya",1,"Central",1,"Kiambu",1,"Gatundu",5,"Ngenda",NA,"Kata","Location"
6,118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",6,"Githunguri",NA,"Kata","Location"
7,118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",7,"Ikinu",NA,"Kata","Location"
8,118,"KEN","Kenya",1,"Central",1,"Kiambu",2,"Githunguri",8,"Komothai",NA,"Kata","Location"
9,118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",9,"Kiambaa",NA,"Kata","Location"
10,118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",10,"Kiambaas/Area",NA,"Kata","Location"
11,118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",11,"Kihara",NA,"Kata","Location"
12,118,"KEN","Kenya",1,"Central",1,"Kiambu",3,"Kiambaa",12,"Ndumberi",NA,"Kata","Location"
13,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",13,"Kabete",NA,"Kata","Location"
14,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",14,"Karai",NA,"Kata","Location"
15,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",15,"Kikuyu",NA,"Kata","Location"
16,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",16,"Kinoo",NA,"Kata","Location"
17,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",17,"Muguga",NA,"Kata","Location"
18,118,"KEN","Kenya",1,"Central",1,"Kiambu",4,"Kikuyu",18,"Nyathuna",NA,"Kata","Location"
19,118,"KEN","Kenya",1,"Central",1,"Kiambu",5,"Lari",19,"Gatamaiyu",NA,"Kata","Location"
20,118,"KEN","Kenya",1,"Central",1,"Kiambu",5,"Lari",20,"Kijabe",NA,"Kata","Location"
21,118,"KEN","Kenya",1,"Central",1,"Kiambu",5,"Lari",21,"Lari",NA,"Kata","Location"
22,118,"KEN","Kenya",1,"Central",1,"Kiambu",6,"Limuru",22,"Limuru",NA,"Kata","Location"
23,118,"KEN","Kenya",1,"Central",1,"Kiambu",6,"Limuru",23,"Ndeiya",NA,"Kata","Location"
24,118,"KEN","Kenya",1,"Central",1,"Kiambu",6,"Limuru",24,"Ngecha",NA,"Kata","Location"
25,118,"KEN","Kenya",1,"Central",1,"Kiambu",6,"Limuru",25,"Tigoni",NA,"Kata","Location"
26,118,"KEN","Kenya",1,"Central",1,"Kiambu",7,"Thika",26,"Gatuanyaga",NA,"Kata","Location"
27,118,"KEN","Kenya",1,"Central",1,"Kiambu",7,"Thika",27,"Juja",NA,"Kata","Location"
28,118,"KEN","Kenya",1,"Central",1,"Kiambu",7,"Thika",28,"Ruiru",NA,"Kata","Location"
29,118,"KEN","Kenya",1,"Central",1,"Kiambu",7,"Thika",29,"Thika",NA,"Kata","Location"
30,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",8,"Gichugu",30,"Baragwi",NA,"Kata","Location"
31,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",8,"Gichugu",31,"Kabare",NA,"Kata","Location"
32,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",8,"Gichugu",32,"Ngariama",NA,"Kata","Location"
33,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",8,"Gichugu",33,"NJUKI-INI",NA,"Kata","Location"
34,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",9,"Mt. Kenya",34,"Mt. Kenya",NA,"Kata","Location"
35,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",10,"Mwea",35,"Murinduko",NA,"Kata","Location"
36,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",10,"Mwea",36,"Mutithi",NA,"Kata","Location"
37,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",10,"Mwea",37,"Nyangati",NA,"Kata","Location"
38,118,"KEN","Kenya",1,"Central",2,"Kirinyaga",10,"Mwea",38,"Tebere",NA,"Kata","Location"
