"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,149,"MNG","Mongolia",1,"Ömnögovi","Aimag|aymag","Province",NA,"Góbi do Sul|Ömnögov'|Ömönö Gobi|South Gobi|Umnu|Ömnögow'|Südgobi"
2,149,"MNG","Mongolia",2,"Övörhangay","Aimag|aymag","Province",NA,"Öbör Hangay|Övörchangaj|South Hangay|South Khangai|Ublhangai|Ubur-Khangai|Ovorkhangai|Öwörchangai|Uwurchangaj"
3,149,"MNG","Mongolia",3,"Arhangay","Aimag|aymag","Province",NA,"Alahangai|Ara Hangay|Ara-Khangai|Archangaj|Arkhangai|North Hangay|North Khangai|Archangai"
4,149,"MNG","Mongolia",4,"Bayan-Ölgiy","Aimag|aymag","Province",NA,"Bajan-Ölgij|Bayan Ölögey|Bayan-Ulegei|Bayanulgee|Bayan-Ulgii|Bajan-Ulegei"
5,149,"MNG","Mongolia",5,"Bayanhongor","Aimag|aymag","Province",NA,"Bajan-Chongor|Bayan Khangor|Bayan Khongor"
6,149,"MNG","Mongolia",6,"Bulgan","Aimag|aymag","Province",NA,"Bulagan"
7,149,"MNG","Mongolia",7,"Darhan-Uul","Hot","Municipality",NA,"Darchan|Darhan|Darkhan|Darkhan-Uul|Darchan-Uul"
8,149,"MNG","Mongolia",8,"Dornod","Aimag|aymag","Province",NA,"Choibalsan|Choybalsan|Doronad|Doronod|Eastern"
9,149,"MNG","Mongolia",9,"Dornogovi","Aimag|aymag","Province",NA,"Dornogobi|Dornogov'|Dorono Gobi|East Gobi|Dornogow'|Ostgobi|G¢bi Oriental"
10,149,"MNG","Mongolia",10,"Dundgovi","Aimag|aymag","Province",NA,"Central Gobi|Dunda Gobi|Dundgobi|Dundgov'|Middle Gobi|Dundgow'|Mittelgobi|G¢bi Central"
11,149,"MNG","Mongolia",11,"Dzavhan","Aimag|aymag","Province",NA,"Dsawchan|Dzabhan|Dzabkhan|Dzavchan|Psapchyn|Zavhan|Zavkhan"
12,149,"MNG","Mongolia",12,"Govi-Altay","Aimag|aymag","Province",NA,"Gobi-Altai|Gobi Altay|Gov'altaj|Gov'altay|Govyaltaj|Gow'altai"
13,149,"MNG","Mongolia",13,"Govisümber","Hot","Municipality",NA,"Gobisumber"
14,149,"MNG","Mongolia",14,"Hövsgöl","Aimag|aymag","Province",NA,"Chövsgöl|Chuwsgul|Hobsgol|Höbsögöl|Hubsugul|Khubsugal|Khubsugud|Khubsugul|Kossogol"
15,149,"MNG","Mongolia",15,"Hentiy","Aimag|aymag","Province",NA,"Chentii|Chentij|Hentey|Hentii|Kentai|Kentei|Khentei|Khenti"
16,149,"MNG","Mongolia",16,"Hovd","Aimag|aymag","Province",NA,"Chovd|Hobdo|Khobdo|Khovd|Kobdo|Chowd"
17,149,"MNG","Mongolia",17,"Orhon","Hot","Municipality",NA,"Erdenet|Orkhon"
18,149,"MNG","Mongolia",18,"Sühbaatar","Aimag|aymag","Province",NA,"Sühe Baatar|Suhe-Bator|Sükhbaatar|Sukh-Batar|Sukhe-Bator|Süchbaatar"
19,149,"MNG","Mongolia",19,"Selenge","Aimag|aymag","Province",NA,"Selenga"
20,149,"MNG","Mongolia",20,"Töv","Aimag|aymag","Province",NA,"Central|Töb|Tub|Tuvaimag|Töw|Tuw"
21,149,"MNG","Mongolia",21,"Ulaanbaatar","Hot","Municipality",NA,"Oulan-Bator|Ulan Bator|Ulan Bator Choto"
22,149,"MNG","Mongolia",22,"Uvs","Aimag|aymag","Province",NA,"Ubs|Ubsa Nor|Ubsa Nur|Ubsu Hur|Upsanol|Uws"
