"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,149,"MNG","Mongolia",1,"Ömnögovi",1,"Bayan-Ovoo","Soum","Sum","<U+0411><U+0430><U+044F><U+043D>-<U+041E><U+0432><U+043E><U+043E>",NA
2,149,"MNG","Mongolia",1,"Ömnögovi",2,"Bayandalai","Soum","Sum","<U+0411><U+0430><U+044F><U+043D><U+0434><U+0430><U+043B><U+0430><U+0439>",NA
3,149,"MNG","Mongolia",1,"Ömnögovi",3,"Bulgan","Soum","Sum","	<U+0411><U+0443><U+043B><U+0433><U+0430><U+043D>",NA
4,149,"MNG","Mongolia",1,"Ömnögovi",4,"Dalanzadgad","Soum","Sum","	<U+0414><U+0430><U+043B><U+0430><U+043D><U+0437><U+0430><U+0434><U+0433><U+0430><U+0434>",NA
5,149,"MNG","Mongolia",1,"Ömnögovi",5,"Gurvan tes","Soum","Sum","	<U+0413><U+0443><U+0440><U+0432><U+0430><U+043D> <U+0442><U+044D><U+0441>","Gurvantes"
6,149,"MNG","Mongolia",1,"Ömnögovi",6,"Khürmen","Soum","Sum","<U+0425><U+04AF><U+0440><U+043C><U+044D><U+043D>","Hurmen"
7,149,"MNG","Mongolia",1,"Ömnögovi",7,"Khan khongor","Soum","Sum","<U+0425><U+0430><U+043D> <U+0445><U+043E><U+043D><U+0433><U+043E><U+0440>","Hanhongor"
8,149,"MNG","Mongolia",1,"Ömnögovi",8,"Khanbogd","Soum","Sum","<U+0425><U+0430><U+043D><U+0431><U+043E><U+0433><U+0434>","Hanbogd"
9,149,"MNG","Mongolia",1,"Ömnögovi",9,"Mandal-Ovoo","Soum","Sum","<U+041C><U+0430><U+043D><U+0434><U+0430><U+043B>-<U+041E><U+0432><U+043E><U+043E>",NA
10,149,"MNG","Mongolia",1,"Ömnögovi",10,"Manlai","Soum","Sum","<U+041C><U+0430><U+043D><U+043B><U+0430><U+0439>",NA
11,149,"MNG","Mongolia",1,"Ömnögovi",11,"Nomgon","Soum","Sum","	<U+041D><U+043E><U+043C><U+0433><U+043E><U+043D>",NA
12,149,"MNG","Mongolia",1,"Ömnögovi",12,"Noyon","Soum","Sum","<U+041D><U+043E><U+0451><U+043D>",NA
13,149,"MNG","Mongolia",1,"Ömnögovi",13,"Sevrei","Soum","Sum","	<U+0421><U+044D><U+0432><U+0440><U+044D><U+0439>",NA
14,149,"MNG","Mongolia",1,"Ömnögovi",14,"Tsogt-Ovoo","Soum","Sum","<U+0426><U+043E><U+0433><U+0442>-<U+041E><U+0432><U+043E><U+043E>",NA
15,149,"MNG","Mongolia",1,"Ömnögovi",15,"Tsogttsetsii","Soum","Sum","<U+0426><U+043E><U+0433><U+0442><U+0446><U+044D><U+0446><U+0438><U+0439>",NA
16,149,"MNG","Mongolia",2,"Övörhangay",16,"Ölziit","Soum","Sum","	<U+04E8><U+043B><U+0437><U+0438><U+0439><U+0442>","Olziit"
17,149,"MNG","Mongolia",2,"Övörhangay",17,"Arvaikheer","Soum","Sum","<U+0410><U+0440><U+0432><U+0430><U+0439><U+0445><U+044D><U+044D><U+0440>","Arvaiheer"
18,149,"MNG","Mongolia",2,"Övörhangay",18,"Bürd","Soum","Sum","<U+0411><U+04AF><U+0440><U+0434>","Burd"
19,149,"MNG","Mongolia",2,"Övörhangay",19,"Baruun Bayan-Ulaan","Soum","Sum","<U+0411><U+0430><U+0440><U+0443><U+0443><U+043D> <U+0411><U+0430><U+044F><U+043D>-<U+0423><U+043B><U+0430><U+0430><U+043D>","Baruunbayan-Ulaan"
20,149,"MNG","Mongolia",2,"Övörhangay",20,"Bat-Ölzii","Soum","Sum","<U+0411><U+0430><U+0442>-<U+04E8><U+043B><U+0437><U+0438><U+0439>","Bat-Olzii"
21,149,"MNG","Mongolia",2,"Övörhangay",21,"Bayan-Öndör","Soum","Sum","<U+0411><U+0430><U+044F><U+043D>-<U+04E8><U+043D><U+0434><U+04E9><U+0440>","Bayan-Ondor"
22,149,"MNG","Mongolia",2,"Övörhangay",22,"Bayangol","Soum","Sum","<U+0411><U+0430><U+044F><U+043D><U+0433><U+043E><U+043B>",NA
23,149,"MNG","Mongolia",2,"Övörhangay",23,"Bogd","Soum","Sum","<U+0411><U+043E><U+0433><U+0434>",NA
24,149,"MNG","Mongolia",2,"Övörhangay",24,"Guchin-Us","Soum","Sum","<U+0413><U+0443><U+0447><U+0438><U+043D>-<U+0423><U+0441>",NA
25,149,"MNG","Mongolia",2,"Övörhangay",25,"Khairkhandulaan","Soum","Sum","<U+0425><U+0430><U+0439><U+0440><U+0445><U+0430><U+043D><U+0434><U+0443><U+043B><U+0430><U+0430><U+043D>","Hairhandulaan"
26,149,"MNG","Mongolia",2,"Övörhangay",26,"Kharkhorin","Soum","Sum","	<U+0425><U+0430><U+0440><U+0445><U+043E><U+0440><U+0438><U+043D>","Harhorin"
27,149,"MNG","Mongolia",2,"Övörhangay",27,"Khujirt","Soum","Sum","<U+0425><U+0443><U+0436><U+0438><U+0440><U+0442>","Hujirt"
28,149,"MNG","Mongolia",2,"Övörhangay",28,"Nariinteel","Soum","Sum","<U+041D><U+0430><U+0440><U+0438><U+0439><U+043D><U+0442><U+044D><U+044D><U+043B>",NA
29,149,"MNG","Mongolia",2,"Övörhangay",29,"Sant","Soum","Sum","	<U+0421><U+0430><U+043D><U+0442>",NA
30,149,"MNG","Mongolia",2,"Övörhangay",30,"Tögrög","Soum","Sum","	<U+0422><U+04E9><U+0433><U+0440><U+04E9><U+0433>","Togrog"
31,149,"MNG","Mongolia",2,"Övörhangay",31,"Taragt","Soum","Sum","	<U+0422><U+0430><U+0440><U+0430><U+0433><U+0442>",NA
32,149,"MNG","Mongolia",2,"Övörhangay",32,"Uyanga","Soum","Sum","	<U+0423><U+044F><U+043D><U+0433><U+0430>",NA
33,149,"MNG","Mongolia",2,"Övörhangay",33,"Yesönzüil","Soum","Sum","	<U+0415><U+0441><U+04E9><U+043D><U+0437><U+04AF><U+0439><U+043B>","Eson-Zuil"
34,149,"MNG","Mongolia",2,"Övörhangay",34,"Züünbayan-Ulaan","Soum","Sum","<U+0417><U+04AF><U+04AF><U+043D><U+0431><U+0430><U+044F><U+043D>-<U+0423><U+043B><U+0430><U+0430><U+043D>","Zuunbayan-Ulaan"
35,149,"MNG","Mongolia",3,"Arhangay",35,"Ögii nuur","Soum","Sum","<U+04E8><U+0433><U+0438><U+0439> <U+043D><U+0443><U+0443><U+0440>","Ugiinuur"
36,149,"MNG","Mongolia",3,"Arhangay",36,"Ölziit","Soum","Sum","<U+04E8><U+043B><U+0437><U+0438><U+0439><U+0442>","Ulziit"
37,149,"MNG","Mongolia",3,"Arhangay",37,"Öndör-Ulaan","Soum","Sum","<U+04E8><U+043D><U+0434><U+04E9><U+0440>-<U+0423><U+043B><U+0430><U+0430><U+043D>","Ondor-Ulaan"
38,149,"MNG","Mongolia",3,"Arhangay",38,"Battsengel","Soum","Sum","<U+0411><U+0430><U+0442><U+0446><U+044D><U+043D><U+0433><U+044D><U+043B>",NA
39,149,"MNG","Mongolia",3,"Arhangay",39,"Bulgan","Soum","Sum","<U+0411><U+0443><U+043B><U+0433><U+0430><U+043D>",NA
40,149,"MNG","Mongolia",3,"Arhangay",40,"Chuluut","Soum","Sum","<U+0427><U+0443><U+043B><U+0443><U+0443><U+0442>",NA
41,149,"MNG","Mongolia",3,"Arhangay",41,"Erdenebulgan","Soum","Sum","<U+042D><U+0440><U+0434><U+044D><U+043D><U+044D><U+0431><U+0443><U+043B><U+0433><U+0430><U+043D>","Erdene-Bulgan"
42,149,"MNG","Mongolia",3,"Arhangay",42,"Erdenemandal","Soum","Sum","<U+042D><U+0440><U+0434><U+044D><U+043D><U+044D><U+043C><U+0430><U+043D><U+0434><U+0430><U+043B>","Erdeenemandal"
43,149,"MNG","Mongolia",3,"Arhangay",43,"Ikh-Tamir","Soum","Sum","<U+0418><U+0445> <U+0442><U+0430><U+043C><U+0438><U+0440>","Ih-Tamir"
44,149,"MNG","Mongolia",3,"Arhangay",44,"Jargalant","Soum","Sum","<U+0416><U+0430><U+0440><U+0433><U+0430><U+043B><U+0430><U+043D><U+0442>",NA
